fips,state,county,popl,prcnt_white,prcnt_black,prcnt_asian,prcnt_hispanic,avg_age,avg_age_white,avg_age_black,avg_age_asian,avg_age_hispanic,land_area,popl_density,unempl_rate,unempl_rate_chng,med_income,prcnt_poverty,prcnt_chng_gdp,per_capita_gdp,high_sch_grad_rate,college_grad_rate,dem_legis,dem_gov,dem_state,biden_margin_2020,region,tmax_avg,cases_prcnt_1,cases_prcnt_2,cases_prcnt_3,cases_prcnt_tot,deaths_prcnt_1,deaths_prcnt_2,deaths_prcnt_3,deaths_prcnt_tot
38045.0,ND,LaMoure County,4046,0.9802273850716757,0.009144834404349975,0.0017301038062283738,0.017053880375679682,45.805116164112704,46.152294503277865,28.378378378378375,28.214285714285715,27.065217391304348,1145.94,0.547863999329659,2.7666666666666666,0.5,56.059,0.1198714780029659,0.19943401291554191,79508.89767671775,0.2901044867854948,0.2421634910878918,0,0,0,50.38306,Central,53.458333333333336,0.00024715768660405336,0.018042511122095897,0.10504201680672269,0.12333168561542264,0.0,0.001235788433020267,0.002965892239248641,0.004201680672268907
38047.0,ND,Logan County,1850,0.9664864864864865,0.008648648648648649,0.008108108108108109,0.025945945945945945,44.90810810810811,45.496364653243845,23.90625,21.166666666666668,27.5,992.82,0.270301211118877,3.0999999999999996,0.5,51.496,0.1281081081081081,-0.0799558198561951,67990.27027027027,0.32439678284182305,0.1970509383378016,0,0,0,74.53532,Central,53.28333333333333,0.0,0.0372972972972973,0.08054054054054054,0.11783783783783784,0.0,0.0,0.004324324324324324,0.004324324324324324
38049.0,ND,McHenry County,5745,0.9718015665796345,0.009399477806788513,0.004873803307223673,0.019843342036553524,42.25239338555266,42.526867275658255,34.30555555555556,37.142857142857146,26.425438596491226,1873.95,0.4865320339932406,5.422222222222222,1.6999999999999997,59.661,0.11923411662315056,-0.07460272215492054,45208.35509138381,0.34568176746261997,0.2039723276054452,0,0,0,59.94006,Central,53.62500000000001,0.00034812880765883376,0.015317667536988686,0.08181026979982593,0.09747606614447346,0.00017406440382941688,0.0019147084421235858,0.001566579634464752,0.0036553524804177544
38051.0,ND,McIntosh County,2497,0.9655586704044854,0.010412494993992792,0.011213456147376852,0.026031237484981977,49.25510612735282,49.93571132310245,23.846153846153847,30.89285714285714,35.26923076923077,974.73,0.4085342094723433,3.0999999999999996,0.6000000000000001,47.349,0.1341609931918302,0.1050236634531113,63117.34080897077,0.31780055917986955,0.17520969245107176,0,0,0,61.30584,Central,52.95833333333332,0.00040048057669203043,0.030036043251902282,0.09771726071285543,0.12815378454144974,0.0,0.0016019223067681217,0.0012014417300760913,0.002803364036844213
38053.0,ND,McKenzie County,15024,0.8421858359957402,0.02842119275825346,0.012579872204472844,0.09704472843450479,32.69718450479233,33.79198609025527,26.487119437939107,27.923280423280424,25.241769547325106,2760.32,0.7358261427921968,8.488888888888889,7.0,86.89,0.07368210862619809,0.057041531790074346,189680.910543131,0.2889717167287875,0.24490243367682527,0,0,0,67.68777,Central,56.116666666666674,0.0011980830670926517,0.015841320553780618,0.058706070287539935,0.0757454739084132,0.0,0.00026624068157614486,0.0004659211927582535,0.0007321618743343983
38055.0,ND,McLean County,9450,0.8955555555555555,0.00962962962962963,0.00455026455026455,0.025714285714285714,43.9404761904762,45.291267871913035,26.23626373626373,31.22093023255814,25.257201646090532,2110.88,0.6509682634153134,4.733333333333333,1.2000000000000002,67.453,0.0926984126984127,-0.04760355802344929,83344.86772486773,0.33874185396994283,0.20122356696369198,0,0,0,53.61272,Central,54.933333333333344,0.0007407407407407407,0.0308994708994709,0.09322751322751323,0.12486772486772486,0.0,0.0009523809523809524,0.002328042328042328,0.0032804232804232803
38057.0,ND,Mercer County,8187,0.9416147550995481,0.012092341517039208,0.007450836692317088,0.030169781360693784,42.34182240136802,43.12621611103905,24.974747474747474,30.983606557377044,26.204453441295552,1042.96,0.894857137871366,6.0888888888888895,1.7000000000000002,83.341,0.07621839501648955,-0.0371579644721865,124088.31073653353,0.2697298122424057,0.21401312776675316,0,0,0,67.42246,Central,56.08333333333334,0.0007328691828508611,0.019909612800781726,0.10822034933431049,0.12886283131794307,0.0,0.00036643459142543056,0.0007328691828508611,0.0010993037742762918
38059.0,ND,Morton County,31364,0.9216617778344599,0.019704119372529014,0.008289758959316414,0.041193725290141564,39.72125685499299,40.74281315944234,24.583333333333336,29.317307692307693,27.352941176470587,1926.27,1.2117142842587387,5.5,1.7000000000000002,68.051,0.07703099094503252,0.021450486820232723,51428.325468690215,0.2983109786388475,0.25939725120052987,0,0,0,50.37006,Central,56.43333333333333,0.0019130212983037877,0.041034306848616246,0.11197551332738172,0.15492284147430174,6.376737661012626e-05,0.001498533350337967,0.0014028822854227777,0.002965183012370871
38061.0,ND,Mountrail County,10545,0.645045045045045,0.02332859174964438,0.006543385490753912,0.08942626837363679,35.335704125177806,39.080049985298444,26.199186991869922,29.31159420289855,25.797985153764582,1825.3,0.7617123302763743,5.6,4.2,69.04,0.0948316737790422,-0.04614696200643588,122502.2285443338,0.3424057355284121,0.18255443441317049,0,0,0,37.64706,Central,53.583333333333336,0.004077761972498814,0.02209577999051683,0.09274537695590328,0.11891891891891893,0.0,0.0005689900426742532,0.0010431484115694643,0.0016121384542437174
38063.0,ND,Nelson County,2879,0.9499826328586315,0.016325112886418896,0.004862799583188607,0.04619659604029177,46.13060090309135,46.867458866544794,28.72340425531915,28.57142857142857,27.650375939849624,981.78,0.46722748410761933,4.744444444444444,1.5,56.098,0.10941299062174366,-0.062052493185311336,60834.31747134421,0.294540837917901,0.24248836225137538,0,0,0,31.23241,Central,50.88333333333333,0.0003473428273706148,0.02535602639805488,0.1267801319902744,0.1524835012156999,0.0,0.0010420284821118443,0.003126085446335533,0.004168113928447377
38065.0,ND,Oliver County,1959,0.9515058703420113,0.0071465033180193975,0.0030627871362940277,0.02041858090862685,42.60974987238387,43.287285407725314,28.214285714285715,30.833333333333332,33.75,722.51,0.4331905736114598,5.177777777777778,2.2,72.919,0.10566615620214395,-0.006971899018036927,130654.41551812149,0.3050847457627119,0.19970523212969787,0,0,0,74.01501,Central,55.50000000000001,0.0005104645227156713,0.01174068402246044,0.06431852986217458,0.07656967840735068,0.0,0.0005104645227156713,0.0005104645227156713,0.0010209290454313426
38067.0,ND,Pembina County,6801,0.9376562270254374,0.012057050433759741,0.0070577856197618,0.03411263049551536,44.47691515953536,44.96118864669908,30.884146341463417,40.31250000000001,32.661637931034484,1118.69,0.7838630189179141,6.388888888888888,0.8999999999999999,59.97,0.08572268784002353,0.015551028383819037,77182.32612851051,0.31651542649727765,0.20925589836660616,0,0,0,50.25518,Central,50.933333333333344,0.000882223202470225,0.013380385237465079,0.09160417585649169,0.105866784296427,0.0,0.0,0.0016174092045287457,0.0016174092045287457
38069.0,ND,Pierce County,3975,0.9217610062893081,0.013584905660377358,0.002767295597484277,0.02012578616352201,43.75974842767296,44.970660480349345,23.333333333333332,33.86363636363636,28.9375,1018.6,0.5913334611523298,4.677777777777777,0.5,56.753,0.10918238993710692,-0.1340691059739708,59471.698113207545,0.3290203327171904,0.23074553296364755,0,0,0,51.12782,Central,52.675000000000004,0.0007547169811320754,0.00830188679245283,0.12,0.1290566037735849,0.0,0.0,0.0060377358490566035,0.0060377358490566035
38071.0,ND,Ramsey County,11519,0.8367913881413317,0.01831756228839309,0.014931851723239865,0.03212084382324855,41.241644239951384,44.0992322855068,25.533175355450233,28.25581395348837,23.398648648648646,1186.85,0.9870189441487114,4.988888888888888,0.7999999999999998,60.71,0.11815261741470613,-0.05394932759452603,55489.53902248459,0.28781914295354855,0.25070295804746373,0,0,0,36.07595,Central,51.30833333333333,0.0006945047313134821,0.02144283357930376,0.11459328066672454,0.1367306189773418,8.681309141418526e-05,0.00026043927424255575,0.0022571403767688166,0.0026043927424255577
38073.0,ND,Ransom County,5218,0.9549635875814488,0.01475661172863166,0.013031812955155231,0.025105404369490224,42.8315446531238,43.34788280152519,21.850649350649352,41.65441176470588,29.312977099236644,862.36,0.7818154709175487,4.666666666666667,1.0,66.422,0.08394020697585282,0.1028282642263178,59677.845917976236,0.36070242050308493,0.1839107736117703,0,0,0,19.27465,Central,53.949999999999996,0.0021080873898045227,0.013798390187811422,0.09831353008815638,0.11422000766577232,0.0,0.0,0.0030663089306247606,0.0030663089306247606
